Timestamp,Load Index,StackTempMbus,StackO2Mbus,SteamPrMbus,SteamTempMbus,Gas Pressure (After PRV),Gas Flow,Fuel flow %,Air flow %,TStack_minus_TSteam
2026-01-30 0:59:00,68,198.7,3.6,8.4,177.4,155.9892273,81.22466278,23.89999962,22.60000038,21.3
2026-01-30 1:00:00,64,199.4,3.8,8.5,177.7,157.8906555,72.54184723,22.5,20,21.7
2026-01-30 1:01:00,59,199.2,4.1,8.5,177.9,157.3601685,67.63089752,20.89999962,17.70000076,21.3
2026-01-30 1:02:00,58,197.8,4.7,8.6,178,156.7819824,61.74777222,20.39999962,17.39999962,19.8
2026-01-30 1:03:00,,197,4.8,8.6,178,,60.86321259,,,19
2026-01-30 1:04:00,56,195.9,5.1,8.6,178.1,159.0172272,58.91051865,19.89999962,16.80000114,17.8
2026-01-30 1:05:00,59,195.3,5,8.4,177.4,152.8777771,67.55995941,21,18.5,17.9
2026-01-30 1:06:00,75,195.4,3.9,8.2,176.4,154.046051,96.83371735,26,26.30000114,19
2026-01-30 1:07:00,68,199.1,3.5,8.4,177.4,156.7044983,82.22605133,23.89999962,22.89999962,21.7
2026-01-30 1:08:00,,199.8,3.8,8.5,177.6,,75.69619751,,,22.2
2026-01-30 1:09:00,61,199.3,4.1,8.5,177.8,156.7223816,68.87010193,21.70000076,18.60000038,21.5
2026-01-30 1:10:00,60,198.7,4.3,8.5,177.9,156.9250336,66.88820648,21.30000114,18.20000076,20.8
2026-01-30 1:11:00,60,198.1,4.4,8.5,177.9,156.9488831,66.17472076,21.20000076,18.20000076,20.2
2026-01-30 1:12:00,60,197,4.4,8.5,177.9,156.2038117,66.70878601,21.20000076,18.20000076,19.1
2026-01-30 1:13:00,,196.6,4.2,8.4,177.1,,76.94792938,,,19.5
2026-01-30 1:14:00,79,198.4,3,8.3,176.8,151.6320038,103.7349243,27.39999962,28.80000114,21.6
2026-01-30 1:15:00,72,200.4,3.2,8.4,177.3,156.9488831,89.03128815,25.10000038,24.60000038,23.1
2026-01-30 1:16:00,64,201.4,3.5,8.5,177.6,156.6150971,79.91870117,22.60000038,20.30000114,23.8
2026-01-30 1:17:00,63,200.9,3.9,8.5,177.9,156.9190826,70.8394928,22.10000038,19.10000038,23
2026-01-30 1:18:00,,200.2,4,8.6,177.9,,68.73241425,,,22.3
2026-01-30 1:19:00,63,198.9,4.2,8.4,177.4,156.2753296,73.889534,22.20000076,20.30000114,21.5
2026-01-30 1:20:00,78,199,3.4,8.2,176.5,154.4752197,103.9018173,27.10000038,29.10000038,22.5
2026-01-30 1:21:00,69,200.6,3.1,8.4,177.2,156.1740112,95.11051178,24.10000038,23.20000076,23.4
2026-01-30 1:22:00,66,202.2,3.6,8.5,177.8,155.9892273,76.30537415,23.10000038,21,24.4
2026-01-30 1:23:00,,201.8,3.8,8.5,177.9,,72.26646423,,,23.9
2026-01-30 1:24:00,62,200.6,4.1,8.6,178,157.2946014,69.72962952,21.80000114,18.80000114,22.6
2026-01-30 1:25:00,61,199.8,4.2,8.6,178,157.9383392,68.15245056,21.60000038,18.5,21.8
2026-01-30 1:26:00,75,199.1,4.3,8.5,177.7,153.3188629,69.06203461,26.20000076,27.70000076,21.4
2026-01-30 1:27:00,84,200.4,2.8,8.2,176.6,152.8360596,114.5122986,29.10000038,31.80000114,23.8
2026-01-30 1:28:00,,202.8,2.8,8.4,177.2,,97.44707489,,,25.6
2026-01-30 1:29:00,,,,,,,,,,
